Feature,Mean Absolute SHAP
categorical__r_case_number_13000349MM10A,3.2254133568469
numeric__end,1.0575286183521344
numeric__start,0.024602540845831983
categorical__c_charge_desc_Fighting/Baiting Animals,0.004931918745195565
categorical__in_custody_2015-06-12,0.002258266572212714
categorical__out_custody_2013-08-05,0.0005633737387987253
categorical__in_custody_2014-10-09,0.000517984316273692
categorical__out_custody_2014-09-19,0.0004792150409224741
categorical__c_case_number_13005158CF10A,0.00040496503372851
categorical__c_case_number_12018175CF10A,0.00038252099676944396
categorical__r_case_number_16002624CF10A,0.00038199309997908617
categorical__r_case_number_15010863CF10A,0.00038034528048713854
categorical__c_case_number_13000013CF10A,0.00038034514280427316
categorical__c_case_number_12018695CF10A,0.00037546552469585183
categorical__r_case_number_16002338MM10A,0.0003650449826144647
categorical__c_case_number_13006713MO10A,0.00036092268308558404
categorical__r_case_number_15007079CF10A,0.0003567171309607783
categorical__out_custody_2013-01-05,0.000346335937864031
categorical__c_case_number_13007122MM10A,0.0003460060776853741
categorical__in_custody_2015-02-21,0.00034476604590421905
categorical__r_case_number_15010505MM10A,0.0003345416041194796
categorical__c_case_number_13015856CF10A,0.0003333044956274195
categorical__c_case_number_13003543CF10A,0.0003313812928642549
categorical__r_case_number_15027878TC40A,0.00032878193561472734
categorical__c_case_number_13004726MM10A,0.00032813247684345016
categorical__r_case_number_16002152MM10A,0.0003234660530894002
categorical__r_case_number_15006848CF10A,0.00032324167375079023
categorical__r_case_number_16000485MM30A,0.0003169968188223951
categorical__r_case_number_15013032CF10A,0.00031626673035541097
categorical__c_case_number_13010873CF10A,0.00031355791307703174
categorical__r_case_number_15015534TC20A,0.0003100669644309545
categorical__r_case_number_15010350MM10A,0.00030859786937221644
categorical__c_case_number_13002159MM10A,0.00030382836415868223
categorical__r_case_number_16000286MM20A,0.00030040535295223234
categorical__c_case_number_13007298MM10A,0.0002946532432307726
categorical__c_case_number_13001778CF10A,0.0002923400067550171
categorical__r_case_number_15007181CF10A,0.00029070152723782955
categorical__c_case_number_13001272CF10A,0.00028349114465601837
categorical__c_charge_desc_Unlawful Use Of Police Badges,0.0002789433051032806
categorical__r_case_number_16000978CF10A,0.00027410726857264453
categorical__r_case_number_15003101CF10A,0.0002696919637575729
categorical__r_case_number_15042467TC30A,0.0002632286580480324
